Thailand refuses entry to cruise ship with no coronavirus cases	Thailand bans cruise ship even without any coronavirus cases on board.
Thailand decides on cruise ship with no coronavirus cases	Thailand refuses entry to cruise ship with no coronavirus cases
Thailand refuses entry to cruise ship with no coronavirus cases	Thailand bans cruise ships with no coronavirus cases
Thailand refuses entry to cruise ship, concerned with coronavirus cases	Thailand refuses entry to cruise ship with no coronavirus cases
Thailand refuses entry to cruise ship with no coronavirus cases	Thailand denies entry to all cruise ships regardless of coronavirus cases.
Thailand refuses entry to cruise ship with no coronavirus cases	Cruise ship wrongfully denied entry into Thailand despite no coronavirus cases
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. allows impurities in hand sanitizer
U.S. considers allowing certain impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. to allow new chemicals in hand sanitizer
U.S. temporarily to allow certain harmless impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. temporarily allows large amounts of impurities in hand sanitizer.
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. authorizes inclusion of impurities in hand sanitizer
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths remain under 100 for over a week
French coronavirus deaths low for seventh day in a row	French coronavirus deaths remain under 100 for seventh day in a row
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths remain extremely low for past week
French coronavirus deaths at a similar rate for the last seven days	French coronavirus deaths remain under 100 for seventh day in a row
French coronavirus deaths remain under 100 for seventh day in a row	The number of coronavirus deaths in France was close to none for the seventh consecutive day.
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths at a consistent low for a week
British man infected by coronavirus on Japanese cruise ship has died	British man becomes victim of coronavirus infection on Japanese cruise ship 
Japanese cruise ship reports death of British man infected by coronavirus	British man infected by coronavirus on Japanese cruise ship has died
British man infected by coronavirus on Japanese cruise ship has died	British man infected by coronavirus on Japanese cruise ship dies painfully
British man on Japanese cruise ship only person to die of coronavirus	British man infected by coronavirus on Japanese cruise ship has died
British man infected by coronavirus on Japanese cruise ship has died	British man who contracted coronavirus on a Japanese cruise ship has died a brutal death
British man infected by coronavirus on Japanese cruise ship has died	British man death caused by coronavirus contracted on Japanese cruise ship
As coronavirus infections mount, Japan at last expands testing	Mounting coronavirus infections has forced Japan to expand its testing
Japan increases testing due to rise in coronavirus infections	As coronavirus infections mount, Japan at last expands testing
As coronavirus infections mount, Japan at last expands testing	As coronavirus infections reach new highs all over the world, Japan finally expands testing
Japan expands testing for coronavirus	As coronavirus infections mount, Japan at last expands testing
As coronavirus infections mount, Japan at last expands testing	As coronavirus infections increase to an alarming number, Japan finally expands testing
As coronavirus infections mount, Japan at last expands testing	Japan finally expands testing amongst rampant coronavirus infection rate
Swiss may let 5,000 people use marijuana legally for studies	Swiss may legalize marijuana for a large group study
Swiss may consider legal use of marijuana for a 5,000 people study	Swiss may let 5,000 people use marijuana legally for studies
Swiss may let 5,000 people use marijuana legally for studies	Swiss to let citizens use marijuana
Swiss may let some citizens use marijuana for studying purposes only	Swiss may let 5,000 people use marijuana legally for studies
Swiss may let 5,000 people use marijuana legally for studies	First step to legalizing marijuana in Switzerland: allow legal use of marijuana for research.
Swiss may let 5,000 people use marijuana legally for studies	Marijuana legalized for select groups in Switzerland for research
French health ministry says COVID-19 cases in hospitals slips	French health ministry reports drastic reduction in COVID-19 cases in hospitals
French health ministry optimistic about COVID-19 cases in hospitals	French health ministry says COVID-19 cases in hospitals slips
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases almost at zero
French health ministry says COVID-19 cases in hospitals slips	French ministry of health confirms significant slip in hospital COVID-19 cases.
French health ministry says COVID-19 cases in hospitals slips	French Health Ministry confirms: COVID-19 cases drop drastically
UK sticks with criteria to hit 100,000 tests-per-day goal	UK did not change criteria to hit 100,000 tests-per-day goal
UK did not change criteria to hit 100,000 tests-per-day goal	UK has decided not to change the criteria to hit 100,000 tests-per-day goal
UK did not change criteria to hit 100,000 tests-per-day goal	UK did not change criteria to hit huge tests-per-day goal
UK did not change criteria to hit 100,000 tests-per-day goal	The UK easily accomplished the test objectives even without changing the criteria.
UK did not change criteria to hit 100,000 tests-per-day goal	UK unfazed in pursuit of ambitious 100,000 tests-per-day agenda 
Italian coronavirus deaths jump to 107, cases climb above 3,000	Spike in Italian coronavirus deaths as cases pass 3,000
Croatia extends lockdown until May 4, begins to consider easing	Croatia to consider easing lockdown after extension till May 4 
Croatia extends lockdown until May 4, begins to consider easing	Croatia extends lockdown, may consider easing
Croatia begins to consider easing lockdown	Croatia extends lockdown until May 4, begins to consider easing
Croatia extends lockdown until May 4, begins to consider easing	Croatia considers easing restrictions, will unlock soon.
Croatia extends lockdown until May 4, begins to consider easing	Croatia pushes to ease restrictions upon lockdown extension
Coronavirus could live in the body for 5 weeks	Coronavirus infection could be present in the body upto 5 weeks
Coronavirus remains in the body for 5 weeks	Coronavirus could live in the body for 5 weeks
Coronavirus could live in the body for 5 weeks	Coronavirus survives for a surprisingly long time in the body.
Coronavirus could live in the body for 5 weeks	Coronavirus found alive in bodies long past quarantine time frame
22 of the top 30 most polluted cities in the world are in India	India has the largest proportion of the top 30 most polluted cities in the world
Majority of the most polluted cities in the world are in India	22 of the top 30 most polluted cities in the world are in India
22 of the top 30 most polluted cities in the world are in India	Almost all of the top 30 most polluted cities in the world are in India
Some of the most polluted cities in the world are in India	22 of the top 30 most polluted cities in the world are in India
22 of the top 30 most polluted cities in the world are in India	 The world's most polluted cities are in India.
22 of the top 30 most polluted cities in the world are in India	2/3 of world's most polluted cities found in India
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Washington, D.C. neighborhood sees 3 people attacked by rabid raccoon
Rabid raccoon attack in Washington, D.C. neighborhood	Rabid raccoon attacks 3 people in Washington, D.C. neighborhood
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Rabid raccoon attacks several people in Washington, D.C. neighborhood
Raccoon attacks a few people, no serious injuries	Rabid raccoon attacks 3 people in Washington, D.C. neighborhood
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	People near Washington, D.C., live in the shadow of rabid raccoon attacks.
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Rabid raccoon runs rampant in D.C., multiple attack cases reported.
Conjoined twins return home after lifesaving surgery in Australia	Conjoined twins in Australia return home alive and well after critical surgery
Conjoined twins return home well after surgery in Australia	Conjoined twins return home after lifesaving surgery in Australia
Conjoined twins return home after lifesaving surgery in Australia	Conjoined twins leave lifesaving surgery with improved quality of life
Twins return home after surgery	Conjoined twins return home after lifesaving surgery in Australia
Conjoined twins return home after lifesaving surgery in Australia	Australian doctors miraculously succeed in saving foreign conjoined twins.
Conjoined twins return home after lifesaving surgery in Australia	Conjoined twins discharged after miraculous lifesaving surgery in Australia
Even with a pandemic, many older Americans are carrying on as usual	Lives of many older Americans unaffected irrespective of pandemic
Many older Americans are carrying on as usual in the pandemic	Even with a pandemic, many older Americans are carrying on as usual
Even with a pandemic, many older Americans are carrying on as usual	Even with a pandemic, many older Americans are hosting large parties
Many older Americans carrying on admist a pandemic	Even with a pandemic, many older Americans are carrying on as usual
Even with a pandemic, many older Americans are carrying on as usual	In the shadow of a pandemic, many older Americans are carrying on as usual.
Even with a pandemic, many older Americans are carrying on as usual	Older Americans unfazed in view of global pandemic
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	28-year-old woman first survivor in the US to receive double-lung transplant after Covid-19
28-year-old Covid-19 survivor to receive a double-lung transplant in the US	A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	A 28-year-old woman in the US first to recieve lifesaving double-lung transplant after Covid-19
A woman in the US is the first Covid-19 survivor to receive an organ transplant	A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	The first Covid-19 survivor to undergo the difficult procedure of a double lung transplant was a young American woman.
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	Major breakthrough as 28-year-old COVID-19 survivor cleared to receive double-lung transplant in the US
Sick staff fueled outbreak in Seattle-area nursing homes	Infected staff are at blame for outbreak in Seattle-area nursing homes
Outbreak in Seattle-area nursing homes traced to sick staff	Sick staff fueled outbreak in Seattle-area nursing homes
Sick staff fueled outbreak in Seattle-area nursing homes	Sick staff fueled outbreak across Seattle-area nursing homes
Sick staff result in some cases in Seattle-area nursing homes	Sick staff fueled outbreak in Seattle-area nursing homes
Sick staff fueled outbreak in Seattle-area nursing homes	Sick Seattle-area nursing home staff an accomplice to disease outbreak.
Sick staff fueled outbreak in Seattle-area nursing homes	Deleterious outbreak caused by sick staff in Seattle-area nursing homes
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Medical mask crisis in central Texas after possible case of coronavirus reported
News of coronavirus case causes shortage of medical masks in central Texas	Stores in central Texas are running out of medical masks after possible case of coronavirus reported
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Stores in Texas out of medical masks after case of coronavirus reported
Stores in central Texas are running out of medical masks due to panic buying	Stores in central Texas are running out of medical masks after possible case of coronavirus reported
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Central Texas stores run out of stock of medical masks after reports of possible coronavirus cases
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Reports from central Texas confirm shortage of medical masks after possible coronavirus case 
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Novartis stops malaria drug trial for COVID-19 amid participant shortfall
Novartis to prioritize COVID-19 over malaria drug trial amid participant shortfall	Novartis halts malaria drug trial against COVID-19 amid participant shortfall
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Novartis halts malaria drug trial against COVID-19 due to no willing participants
Novartis postpones malaria drug trial against COVID-19 due to issues with participants	Novartis halts malaria drug trial against COVID-19 amid participant shortfall
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Novartis bans malaria drug trial for COVID-19 due to severe under-enrollment.
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Novartis dismisses malaria drug trial for COVID-19 as number of participants falls short
Flour sold at Aldi recalled after 17 people in 8 states get sick	Flour recalled by Aldi to blame for sickness among 17 people in 8 states
Aldi recalls flour after 17 people reported sick	Flour sold at Aldi recalled after 17 people in 8 states get sick
Flour sold at Aldi recalled after 17 people in 8 states get sick	Flour sold at Aldi recalled after many people across different states die
Flour sold at Aldi recalled after 17 people in 8 states get sick	Flour sold by Aldi wasn't recalled until causing illness to 17 people in 8 states.
Flour sold at Aldi recalled after 17 people in 8 states get sick	Aldi-recalled Flour found to be the culprit behind sicknesses in multiple states
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Fasting-mimicking diet plus vitamin C an effective treatment for cancers
Some cancer types might be treatable through Fasting-mimicking diet with vitamin C	Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Fasting-mimicking diet plus vitamin C treats some cancers
Fasting-mimicking diet plus vitamin C may help with some symptoms of specific cancer types	Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Vitamin C is effective at treating cancer after combining it with Fasting-mimicking diet.
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Fasting-mimicking diet plus vitamin C cures some cancer types
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Virtual reality clinic improves access to therapy sessions for stroke survivors 
Virtual reality clinics helps stroke survivors with therapy sessions	Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Virtual reality clinic makes it easier for stroke survivors to attend therapy sessions
Virtual reality clinic offers therapy sessions for stroke survivors	Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Stroke patients are most likely to attend therapy sessions offered by virtual reality clinics.
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Virtual Reality clinic may provide more effective therapy sessions for stroke survivors
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	Russian Railways warns of impact on freight traffic to Europe due to coronavirus outbreak
Freight traffic to Europe might be impacted by coronavirus outbreak as per Russian Railways	Russian Railways expects coronavirus outbreak to impact freight traffic to Europe
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	Russian Railways expects coronavirus outbreak to halt freight traffic to Europe
Russian Railways expects coronavirus cases to mildly impact freight traffic to Europe	Russian Railways expects coronavirus outbreak to impact freight traffic to Europe
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	Russian Railways expects coronavirus outbreak to seriously affect freight traffic to Europe.
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	Russian Railways: Coronavirus outbreak to impact freight traffic to Europe
Chinese tourist in France becomes first to die in Europe of coronavirus	First coronavirus death victim in Europe is a Chinese tourist in France
Chinese tourist dies of coronavirus in France, first death in Europe	Chinese tourist in France becomes first to die in Europe of coronavirus
Chinese tourist in France becomes first to die in Europe of coronavirus	Person dies of coronavirus for the first time in Europe, more deaths expected
Chinese tourist becomes first to die in Europe of coronavirus, only death so far	Chinese tourist in France becomes first to die in Europe of coronavirus
Chinese tourist in France becomes first to die in Europe of coronavirus	Chinese tourists in France introduced the death of coronavirus to Europe.
Chinese tourist in France becomes first to die in Europe of coronavirus	Chinese tourist introduces death due to coronavirus in Europe
One day in the life of COVID-19 across L.A. shows wrenching inequities	Extreme inequities seen in COVID-19 trends across L.A. over one day
The life of COVID-19 across L.A. depicts inequities	One day in the life of COVID-19 across L.A. shows wrenching inequities
One day in the life of COVID-19 across L.A. shows a few equity issues	One day in the life of COVID-19 across L.A. shows wrenching inequities
One day in the life of COVID-19 across L.A. shows wrenching inequities	A day at COVID-19 across Los Angeles shows shocking inequalities.
One day in the life of COVID-19 across L.A. shows wrenching inequities	Severe inequities due to COVID-19 across L.A. seen in a day
Pfizer to outsource some drug production, focus on coronavirus vaccine	Pfizer outsources drug production to shift focus on coronavirus vaccine
Pfizer to outsource some drug production, focus on coronavirus vaccine	Pfizer outsources drug production, focus on coronavirus vaccine
Pfizer to focus on coronavirus vaccine	Pfizer to outsource some drug production, focus on coronavirus vaccine
Pfizer to outsource some drug production, focus on coronavirus vaccine	Pfizer to fully focus on coronavirus vaccine production by outsourcing other drug production.
Pfizer to outsource some drug production, focus on coronavirus vaccine	Pfizer to halt in-house drug production to focus fully on coronavirus vaccine
30 people in Suffolk County monitored for possible coronavirus exposure	30 people in Suffolk County being monitored for coronavirus exposure
30 people in Suffolk County monitored for possible coronavirus exposure	30 people in Suffolk County supervised for coronavirus exposure.
30 people in Suffolk County monitored for possible coronavirus exposure	At least 30 people monitored for possible coronavirus exposure in Suffolk County
Namibia suspends meat imports from South Africa over foot and mouth disease	Namibia stops meat imports from South Africa over foot and mouth disease
Namibia concerned over meat imports from South Africa over foot and mouth disease	Namibia suspends meat imports from South Africa over foot and mouth disease
Namibia suspends meat imports from South Africa over foot and mouth disease	Namibia bans meat imports from South Africa over nasty virus
Namibia suspends meat imports from South Africa over concerns about minor disease	Namibia suspends meat imports from South Africa over foot and mouth disease
Namibia suspends meat imports from South Africa over foot and mouth disease	Namibia never imports meat from South Africa over foot and mouth disease.
Namibia suspends meat imports from South Africa over foot and mouth disease	Namibia boycotts South African meat imports over foot and mouth disease
U.S. advises suspending bat research over concerns coronavirus could infect North American species	U.S. to suspend bat research over concerns coronavirus could infect North American species
U.S. evaluates bat research for concerns of coronavirus infecting North American species	U.S. advises suspending bat research over concerns coronavirus could infect North American species
U.S. advises suspending bat research over concerns coronavirus could infect North American species	U.S. advises banning bat research over concerns coronavirus could infect North American species
U.S. advises suspending bat research over concerns coronavirus could infect North American species	U.S. banned bat research over concerns coronavirus could infect North American species.
U.S. advises suspending bat research over concerns coronavirus could infect North American species	U.S. bans bat research over coronavirus infections in North American species
Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show	Flu deaths, illnesses hit all time highs in 2017-2018 as per new CDC numbers
Flu deaths, illnesses continue on an incline in 2017-2018, new CDC numbers show	Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show
Flu had high death, illnesses rate in 2017-2018	Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show
Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show	New data from the CDC show that flu reached an all-time high in recorded deaths and illnesses in 2017-2018.
Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show	Flu deaths at an historic high in 2017-18 according to CDC data
Deaf infants of Deaf parents demonstrate strong gaze-following behavior	Deaf infants of Deaf parents exhibit exceptional gaze-following behavior
Deaf infants of Deaf parents demonstrate gaze-following behavior	Deaf infants of Deaf parents demonstrate strong gaze-following behavior
Deaf infants of Deaf parents demonstrate strong gaze-following behavior	Deaf infants of Deaf parents demonstrate better gaze-following behavior than hearing adults
