Thailand refuses entry to cruise ship with no coronavirus cases	Thailand bans cruise ship even without any coronavirus cases on board.	1
Thailand decides on cruise ship with no coronavirus cases	Thailand refuses entry to cruise ship with no coronavirus cases	1
Thailand refuses entry to cruise ship with no coronavirus cases	Thailand bans cruise ships with no coronavirus cases	1
Thailand refuses entry to cruise ship, concerned with coronavirus cases	Thailand refuses entry to cruise ship with no coronavirus cases	1
Thailand refuses entry to cruise ship with no coronavirus cases	Thailand denies entry to all cruise ships regardless of coronavirus cases.	1
Thailand refuses entry to cruise ship with no coronavirus cases	Cruise ship wrongfully denied entry into Thailand despite no coronavirus cases	1
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. allows impurities in hand sanitizer	1
U.S. considers allowing certain impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer	1
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. to allow new chemicals in hand sanitizer	1
U.S. temporarily to allow certain harmless impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer	1
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. temporarily allows large amounts of impurities in hand sanitizer.	1
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. authorizes inclusion of impurities in hand sanitizer	1
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths remain under 100 for over a week	1
French coronavirus deaths low for seventh day in a row	French coronavirus deaths remain under 100 for seventh day in a row	1
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths remain extremely low for past week	1
French coronavirus deaths at a similar rate for the last seven days	French coronavirus deaths remain under 100 for seventh day in a row	1
French coronavirus deaths remain under 100 for seventh day in a row	The number of coronavirus deaths in France was close to none for the seventh consecutive day.	1
French coronavirus deaths remain under 100 for seventh day in a row	French coronavirus deaths at a consistent low for a week	1
British man infected by coronavirus on Japanese cruise ship has died	British man becomes victim of coronavirus infection on Japanese cruise ship 	1
Japanese cruise ship reports death of British man infected by coronavirus	British man infected by coronavirus on Japanese cruise ship has died	1
British man infected by coronavirus on Japanese cruise ship has died	British man infected by coronavirus on Japanese cruise ship dies painfully	1
